,Infected data,Recovered data,Death data,Susceptible,Exposed,Infected,Recovered
1/20/20,4.5,0,0,99990,8,2,0
1/21/20,7,0,0,99987.37442,10.16214555,1.725445447,0.737992262
1/22/20,7.5,0,0,99985.00765,11.96573286,1.623365202,1.403254374
1/23/20,5.5,2,0,99982.70453,13.61863574,1.626191672,2.050639123
1/24/20,8,2,0,99980.34777,15.24216193,1.696951575,2.713120956
1/25/20,11.5,2,0,99977.85417,16.91918078,1.812568776,3.41408213
1/26/20,16,2,0,99975.17307,18.69584091,1.963316048,4.167769108
1/27/20,21.5,3,0,99972.25516,20.6158269,2.140961538,4.98805189
1/28/20,28.5,3,0,99969.06668,22.70460856,2.344291558,5.884424555
1/29/20,39,4,0,99965.57334,24.98704973,2.573078321,6.866532367
1/30/20,51,4,0,99961.73501,27.4931732,2.82614659,7.945670691
1/31/20,81,4,0,99957.51712,30.2454844,3.105828914,9.131570006
2002/1/20,80,5,0,99952.88267,33.26760294,3.415080086,10.4346439
2002/2/20,98.5,5,0,99947.78796,36.58877978,3.756061161,11.86720364
2002/3/20,112.5,10,0,99942.18297,40.24330708,4.13039306,13.44332736
2002/4/20,122.5,13,0,99936.01746,44.2637051,4.541661629,15.17717616
2002/5/20,129.5,16,0,99929.23882,48.68310909,4.994507227,17.08356824
2002/6/20,136,22,0,99921.78668,53.54040364,5.493397476,19.1795177
2002/7/20,138.5,31,0,99913.59278,58.88026861,6.042674649,21.48427232
2002/8/20,138,39,0,99904.58095,64.75317915,6.646555673,24.0193135
2002/9/20,137,46,0,99894.6655,71.21692615,7.308759661,26.80881339
2002/10/20,128.5,56,0,99883.74858,78.33832639,8.032690668,29.8804037
2002/11/20,121.5,66,0,99871.74538,86.16794808,8.828663626,33.25800692
2002/12/20,111,82,0,99858.55859,94.76495925,9.707353034,36.96910171
2/13/20,101.5,94,0,99844.07344,104.2018797,10.67855663,41.0461204
2/14/20,96,104,0,99828.15777,114.564581,11.75119538,45.52644899
2/15/20,88,115,0,99810.66197,125.9522865,12.93331352,50.45242713
2/16/20,76,131,0,99791.419,138.4775714,14.23207849,55.87134814
2/17/20,53.5,152,2,99770.2444,152.2663623,15.65378099,61.83545901
2/18/20,43,163,2,99746.93339,167.4604651,17.20335382,68.40278657
2/19/20,24,182,2,99721.27221,184.199852,18.89389695,75.63404452
2/20/20,7,199,2,99693.08508,202.5757879,20.75992824,83.57920226
2/21/20,-15.5,222,2,99662.15316,222.7159738,22.83030731,92.30055496
2/22/20,-20.5,226,3,99628.20272,244.796282,25.12491749,101.8760847
2/23/20,-31.5,237,3,99590.90512,269.0407555,27.65466586,112.3994602
2/24/20,-43.5,249,3,99549.87687,295.7216087,30.42148325,123.9800373
2/25/20,-56.5,262,3,99504.68094,325.1566545,33.41984276,136.742563
2/26/20,-65.5,271,3,99454.93933,357.5801482,36.68494449,150.7955796
2/27/20,-75.5,281,3,99400.34683,393.1323358,40.29387713,166.2269565
2/28/20,-75.5,281,3,99340.49485,432.0457039,44.30496621,183.1544842
2/29/20,-93.5,299,3,99274.85975,474.6566042,48.75437482,201.7292671
2003/1/20,-102.5,308,3,99202.80292,521.405254,53.65610359,222.1357232
2003/2/20,-114,320,3,99123.57069,572.8357354,59.0019907,244.5915845
2003/3/20,-126,332,3,99036.31145,629.5746976,64.77038773,269.3434641
2003/4/20,-135,341,3,98940.38085,691.9867577,71.05168499,296.5807074
2003/5/20,-144,350,3,98835.23842,760.2952476,78.00334108,326.462996
2003/6/20,-151.5,358,3,98720.12345,834.9267093,85.73464328,359.2151961
2003/7/20,-154.5,361,3,98594.04393,916.5218569,94.30344636,395.1307703
2003/8/20,-161.5,368,3,98455.77647,1005.935577,103.7161726,434.5717777
2003/9/20,-166.5,373,3,98303.86639,1104.236928,113.9278119,477.9688736
2003/10/20,,,,98136.80316,1212.508181,124.9151641,525.7734916
2003/11/20,,,,97953.66447,1331.128347,136.935294,578.2718913
2003/12/20,,,,97753.39792,1460.567725,150.2443836,635.7899696
03/13/20,,,,97534.54994,1601.672349,164.9997255,698.7779886
03/14/20,,,,97295.26633,1755.663087,181.2600873,767.810497
03/15/20,,,,97033.29231,1924.135647,198.985712,843.5863298
03/16/20,,,,96746.02332,2109.002912,218.0583089,926.9154611
03/17/20,,,,96431.55331,2311.322418,238.7009836,1018.423289
03/18/20,,,,96088.41093,2531.594473,261.3842833,1118.610314
03/19/20,,,,95714.55479,2770.857142,286.4215613,1228.166503
03/20/20,,,,95307.35635,3030.701598,313.9610637,1347.980991
03/21/20,,,,94863.59986,3313.272129,343.9859292,1479.14208
03/22/20,,,,94379.48435,3621.264021,376.3147168,1622.936912
03/23/20,,,,93851.58064,3956.862411,410.9633887,1780.593556
03/24/20,,,,93278.03091,4320.408162,448.6766832,1952.884243
03/25/20,,,,92656.46782,4712.704311,490.0492455,2140.778621
03/26/20,,,,91983.70695,5135.357876,535.3674247,2345.567744
03/27/20,,,,91255.7468,5590.779851,584.6092742,2568.86407
03/28/20,,,,90467.76878,6082.185207,637.4445513,2812.601463
03/29/20,,,,89614.65085,6613.039165,693.4008445,3078.909139
03/30/20,,,,88694.45864,7183.206046,753.3090174,3369.0263
