,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/20/20,9,0,0,99998,2,0
1/21/20,14,0,0,99997.80884,2.191161426,5.02E-07
1/22/20,15,0,0,99997.59941,2.400593683,1.05E-06
1/23/20,13,2,0,99997.36987,2.630131815,1.65E-06
1/24/20,18,2,0,99997.11837,2.881632423,2.31E-06
1/25/20,25,2,0,99996.84293,3.1570623,3.04E-06
1/26/20,34,2,0,99996.54132,3.458673993,3.83E-06
1/27/20,46,3,0,99996.21099,3.789005805,4.69E-06
1/28/20,60,3,0,99995.84911,4.150881792,5.64E-06
1/29/20,82,4,0,99995.45258,4.547411762,6.68E-06
1/30/20,106,4,0,99995.018,4.981991282,7.82E-06
1/31/20,166,4,0,99994.54169,5.45830167,9.07E-06
2002/1/20,165,5,0,99994.01968,5.980309999,1.04E-05
2002/2/20,202,5,0,99993.44772,6.552269095,1.19E-05
2002/3/20,235,10,0,99992.82127,7.178717541,1.36E-05
2002/4/20,258,13,0,99992.13456,7.865427127,1.54E-05
2002/5/20,275,16,0,99991.38187,8.618109874,1.74E-05
2002/6/20,294,22,0,99990.55786,9.442122407,1.95E-05
2002/7/20,308,31,0,99989.65615,10.34382945,2.19E-05
2002/8/20,315,39,0,99988.66937,11.33060391,2.45E-05
2002/9/20,320,46,0,99987.58915,12.41082692,2.73E-05
2002/10/20,313,56,0,99986.40608,13.59388779,3.04E-05
2002/11/20,309,66,0,99985.10978,14.89018404,3.38E-05
2002/12/20,304,82,0,99983.68884,16.31112136,3.76E-05
2/13/20,297,94,0,99982.13084,17.86911368,4.16E-05
2/14/20,296,104,0,99980.42237,19.5775831,4.61E-05
2/15/20,291,115,0,99978.54899,21.45095992,5.10E-05
2/16/20,283,131,0,99976.49526,23.50468264,5.64E-05
2/17/20,261,152,2,99974.24474,25.75519796,6.23E-05
2/18/20,251,163,2,99971.77997,28.21996079,6.88E-05
2/19/20,232,182,2,99969.08204,30.91788626,7.59E-05
2/20/20,215,199,2,99966.12302,33.87689299,8.37E-05
2/21/20,193,222,2,99962.88077,37.11913527,9.22E-05
2/22/20,188,226,3,99959.33293,40.6669655,0.000101478
2/23/20,177,237,3,99955.45262,44.54726493,0.000111664
2/24/20,165,249,3,99951.20843,48.79144367,0.000122805
2/25/20,152,262,3,99946.56442,53.43544066,0.000134996
2/26/20,143,271,3,99941.48013,58.51972372,0.000148343
2/27/20,133,281,3,99935.91055,64.0892895,0.000162965
2/28/20,133,281,3,99929.80616,70.1936635,0.000178992
2/29/20,115,299,3,99923.1129,76.88690009,0.000196566
2003/1/20,106,308,3,99915.7722,84.22758247,0.000215842
2003/2/20,95,320,3,99907.72094,92.27882271,0.000236985
2003/3/20,83,332,3,99898.89148,101.1082617,0.000260173
2003/4/20,74,341,3,99889.21165,110.7880692,0.000285598
2003/5/20,65,350,3,99878.60474,121.3949439,0.000313461
2003/6/20,58,358,3,99866.98954,133.0101132,0.000343977
2003/7/20,55,361,3,99854.28029,145.7193334,0.00037737
2003/8/20,48,368,3,99840.36049,159.6390976,0.000413953
2003/9/20,43,373,3,99825.10124,174.8983104,0.000454071
2003/10/20,,,,99808.40255,191.5969517,0.000497982
2003/11/20,,,,99790.14334,209.8561137,0.000546
2003/12/20,,,,99770.18087,229.818536,0.000598502
03/13/20,,,,99748.35074,251.6486063,0.00065592
03/14/20,,,,99724.46692,275.5323598,0.000718746
03/15/20,,,,99698.32173,301.6774798,0.000787532
03/16/20,,,,99669.68584,330.3132969,0.000862888
03/17/20,,,,99638.30826,361.69079,0.000945482
03/18/20,,,,99603.91638,396.0825853,0.001036041
03/19/20,,,,99566.21591,433.7829572,0.001135354
03/20/20,,,,99524.89093,475.1078276,0.001244264
03/21/20,,,,99479.60387,520.3947662,0.001363675
03/22/20,,,,99429.99551,570.0029906,0.001494552
03/23/20,,,,99375.685,624.3133661,0.001637914
03/24/20,,,,99316.2698,683.7284058,0.001794844
03/25/20,,,,99251.32576,748.6722704,0.001966481
03/26/20,,,,99180.3408,819.6570474,0.002154306
03/27/20,,,,99102.70807,897.2895687,0.002360065
